,id,status,viralParams,pop,tau,phase
67,67,S,,[],0,0
68,68,S,,[],0.0,57.0
69,69,S,,[],0.0,51.0
70,70,S,,[],0,0
71,71,S,,[],0.0,90.0
72,72,S,,[],0,0
73,73,R,R,"[0.8532001384146892, 0.8532001384146892, 0.8532001384146892, 0.9453741145869133, 0.8981054088575676, 0.8532001384146892, 0.8532001384146892, 0.8532001384146892, 0.8532001384146892, 0.8532001384146892, 0.8532001384146894, 0.9453741145869136, 0.8981054088575678, 0.9453741145869136, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.8981054088575677, 0.8981054088575677, 0.995130646933593, 0.8981054088575676, 0.8981054088575676, 0.9453741145869133, 0.9453741145869133, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.1606714062499994, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 1.0475059441406245, 1.2217593749999995, 1.2217593749999995, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 0.995130646933593, 0.995130646933593, 0.995130646933593, 0.995130646933593, 0.995130646933593, 0.995130646933593, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 0.9951306469335931, 0.9951306469335931, 0.9951306469335931, 1.0475059441406243, 0.8105401314939548, 0.8981054088575676, 0.8532001384146892, 0.995130646933593, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 0.9453741145869136, 0.8981054088575678, 0.8981054088575678, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993]",50.0,49.0
74,74,R,R,"[0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.8105401314939549, 0.9453741145869136, 0.8981054088575678, 0.810540131493955, 0.810540131493955, 0.810540131493955, 0.810540131493955, 0.9453741145869136, 0.8532001384146894, 0.8532001384146894, 0.8532001384146894, 0.8532001384146894, 0.8981054088575678, 0.9453741145869136, 0.9453741145869136, 0.8981054088575678, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.8981054088575678, 0.8981054088575678, 0.8981054088575678, 0.9951306469335932, 0.8532001384146894, 0.8532001384146894, 0.8532001384146894, 0.8981054088575678, 0.8981054088575678, 0.8981054088575678, 0.8981054088575678, 0.8981054088575678, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.8532001384146894, 0.8532001384146894, 0.6949368452396296, 0.8532001384146894, 0.7315124686732943, 0.7315124686732943, 0.7315124686732943, 1.0475059441406245, 1.0475059441406245, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 1.1026378359374995, 1.1026378359374995, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 0.9951306469335932, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 1.0475059441406245, 1.0475059441406245, 0.9951306469335932, 1.0475059441406245, 1.0475059441406245, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.0475059441406245, 1.0475059441406245, 1.1026378359374995, 1.0475059441406245, 1.0475059441406245, 0.9453741145869137, 0.9453741145869137, 0.9453741145869137, 1.1026378359374995, 0.9951306469335933, 0.9951306469335933, 1.0475059441406247, 1.0475059441406247, 0.9453741145869136, 0.9951306469335932, 1.0475059441406245, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.9453741145869136, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932]",31.0,30.0
75,75,S,,[],0,0
76,76,S,,[],0,0
77,77,S,,[],0.0,82.0
78,78,S,,[],0.0,53.0
79,79,S,,[],0.0,47.0
